undefined 0x00
backspace 0x08
tab 0x09
enter 0x0D
leftshift 0xA0
rightshift 0xA1
ctrl 0x11
alt 0x12
cap 0x14
esc 0x1B
spacebar 0x20
del 0x2E
leftarrow 0x25
uparrow 0x26
rightarrow 0x27
downarrow 0x28
0 0x30
1 0x31
2 0x32
3 0x33
4 0x34
5 0x35
6 0x36
7 0x37
8 0x38
9 0x39
; 0xBA
+ 0xBB
- 0xBD
? 0xBF
~ 0xC0
{ 0xDB
| 0xDC
} 0xDD
' 0xDE
< 0xBC
> 0xBE
A 0x41
B 0x42
C 0x43
D 0x44
E 0x45
F 0x46
G 0x47
H 0x48
I 0x49
J 0x4A
K 0x4B
L 0x4C
M 0x4D
N 0x4E
O 0x4F
P 0x50
Q 0x51
R 0x52
S 0x53
T 0x54
U 0x55
V 0x56
W 0x57
X 0x58
Y 0x59
Z 0x5A
